year	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	1kmE3542N3456	220	Magnoliopsida	2891774	Impatiens capensis	2	3.0	1	14830
2024	1kmE3544N3233	220	Magnoliopsida	2891774	Impatiens capensis	1	30.0	86400	14830
2024	1kmE3544N3234	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3545N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	86400	14830
2024	1kmE3545N3233	220	Magnoliopsida	2891774	Impatiens capensis	1	23.0	1	14830
2024	1kmE3546N3242	220	Magnoliopsida	2891774	Impatiens capensis	1	21.0	1	14830
2024	1kmE3546N3243	220	Magnoliopsida	2891774	Impatiens capensis	1	264.0	1	14830
2024	1kmE3546N3245	220	Magnoliopsida	2891774	Impatiens capensis	1	1299.0	1	14830
2024	1kmE3546N3312	220	Magnoliopsida	2891774	Impatiens capensis	2	5.0	1	14830
2024	1kmE3547N3237	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3547N3238	220	Magnoliopsida	2891774	Impatiens capensis	1	9.0	1	14830
2024	1kmE3547N3240	220	Magnoliopsida	2891774	Impatiens capensis	1	1.0	1	14830
2024	1kmE3547N3241	220	Magnoliopsida	2891774	Impatiens capensis	1	20.0	60	14830
2024	1kmE3547N3243	220	Magnoliopsida	2891774	Impatiens capensis	1	15.0	60	14830
2024	1kmE3547N3251	220	Magnoliopsida	2891774	Impatiens capensis	1	4227.0	1	14830
2024	1kmE3547N3346	220	Magnoliopsida	2891774	Impatiens capensis	1	70.7	86400	14830
2024	1kmE3547N3367	220	Magnoliopsida	2891774	Impatiens capensis	1	9.0	86400	14830
2024	1kmE3548N3238	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3548N3242	220	Magnoliopsida	2891774	Impatiens capensis	1	20.0	60	14830
2024	1kmE3548N3266	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3549N3272	220	Magnoliopsida	2891774	Impatiens capensis	1	57.0	86400	14830
2024	1kmE3551N3330	220	Magnoliopsida	2891774	Impatiens capensis	1	15.0	60	14830
2024	1kmE3552N3217	220	Magnoliopsida	2891774	Impatiens capensis	1	1267.0	1	14830
2024	1kmE3552N3336	220	Magnoliopsida	2891774	Impatiens capensis	2	50.0	1	14830
2024	1kmE3554N3208	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3554N3226	220	Magnoliopsida	2891774	Impatiens capensis	1	88.0	86400	14830
2024	1kmE3559N3343	220	Magnoliopsida	2891774	Impatiens capensis	1	18.0	86400	14830
2024	1kmE3560N3366	220	Magnoliopsida	2891774	Impatiens capensis	2	10.0	60	14830
2024	1kmE3561N3206	220	Magnoliopsida	2891774	Impatiens capensis	1	15.0	1	14830
2024	1kmE3565N3207	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3565N3367	220	Magnoliopsida	2891774	Impatiens capensis	2	4.0	1	14830
2024	1kmE3567N3333	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3568N3186	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	86400	14830
2024	1kmE3569N3217	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	1	14830
2024	1kmE3570N3351	220	Magnoliopsida	2891774	Impatiens capensis	1	70.7	86400	14830
2024	1kmE3574N3384	220	Magnoliopsida	2891774	Impatiens capensis	1	1.0	86400	14830
2024	1kmE3574N3385	220	Magnoliopsida	2891774	Impatiens capensis	1	8.0	60	14830
2024	1kmE3577N3323	220	Magnoliopsida	2891774	Impatiens capensis	1	7.1	86400	14830
2024	1kmE3578N3321	220	Magnoliopsida	2891774	Impatiens capensis	1	7.1	86400	14830
2024	1kmE3578N3323	220	Magnoliopsida	2891774	Impatiens capensis	1	70.7	86400	14830
2024	1kmE3581N3215	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3584N3174	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3585N3145	220	Magnoliopsida	2891774	Impatiens capensis	1	830.0	1	14830
2024	1kmE3585N3175	220	Magnoliopsida	2891774	Impatiens capensis	1	31.0	3600	14830
2024	1kmE3585N3178	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3585N3179	220	Magnoliopsida	2891774	Impatiens capensis	1	61.0	60	14830
2024	1kmE3585N3198	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
